appid,Game,Genre,Developer,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Players 2 Weeks,Players Forever
236390,War Thunder,Shooter,Gaijin Entertainment,11347.94,10829.32,10994.24,10830.48,10789.19,10304.06,9379.97,10150.01,10464.8,10681.39,11951.74,11879.4,11615.32,"$3,411,378.96 ","$3,073,484.91 ","$3,126,883.34 ","$3,304,767.14 ","$3,359,081.04 ","$3,578,631.85 ","$3,697,792.77 ","$4,005,316.18 ","$3,741,252.40 ","$3,422,679.78 ","$3,398,879.30 ","$3,446,421.85 ",$0 ,477355,8231230
221380,Age of Empires II HD,RTS,"Skybox Labs, Hidden Path Entertainment, Ensemble Studios",8931.94,7836.86,6957.25,6684.94,6345.31,7115.21,8442.74,7608.77,7548.33,7195.12,7638.54,9800.72,10204.56,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,396985,4459745
601510,Yu-Gi-Oh! Duel Links,TCG,Konami Digital Entertainment,0,0,0,0,0,0,0,0,0,0,9690.22,9527.01,10532.88,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,262609,936792
489830,The Elder Scrolls V: Skyrim Special Edition,RPG,Bethesda Game Studios,12180.21,9986.33,8371.61,7668.81,9061.61,9423.68,10336.37,9767.89,10909.76,9564.23,8779.98,11060.01,12217.23,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,371645,3289779
304930,Unturned,Sandbox,Smartly Dressed Games,21131.31,22151.24,18117.75,18284.68,16884.21,18579.59,23564.34,20882.47,15008.75,14994.02,14843.81,16844.96,16356.82,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,807535,28095065
435150,Divinity: Original Sin 2,RPG,Larian Studios,206.26,242.69,185.01,235.68,405.96,409.3,290.95,444.87,26288.72,28002.91,11722.28,10462.73,12417.12,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,225496,1115960
251570,7 Days to Die,Survival,The Fun Pimps,12833.91,9622.03,11896.69,8710.61,7753.47,10886.84,16224.72,12327.73,9969.92,9353.74,11022.38,10677.71,11075.22,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,257746,2765329
306130,The Elder Scrolls Online: Tamriel Unlimited,RPG,Zenimax Online Studios,7684.02,9579.08,7429.58,11266.26,9234,9914.64,8378.74,8097.48,8171.3,7780.48,7829.17,11648.26,10271.4,"$9,571,877.78 ","$9,517,662.61 ","$9,310,444.73 ","$10,088,946.89 ","$9,072,410.20 ","$21,883,014.09 ","$16,543,594.96 ","$14,668,118.37 ","$11,757,419.13 ","$10,401,976.05 ","$9,712,254.84 ","$8,920,159.31 ",$0 ,125162,1424641
39210,FINAL FANTASY XIV Online,RPG,Square Enix,6566.36,7104.84,6723.47,6070.98,6548.16,12446.32,12136.97,8444.6,6743.04,7069.35,5891.44,5448.9,5963.09,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,58614,605844
550,Left 4 Dead 2,Shooter,Valve,12267.49,9538,10321.27,8462.17,7421.94,11455.54,16346.07,10801.7,8295.91,7498.66,10274.54,12724.5,13617.28,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,868964,16976416
